datetime_from,wind_mwh,pv_mwh,load_mwh,price_eur_mwh,total_renewable_mwh,renewable_surplus_mwh,renewable_ratio,hour,day_of_week,month,is_weekend
2025-06-28 14:00:00,0.32681446190494484,0.7663415139583765,0.030305537742289154,-1.059561870929544,0.8847297947718503,1.063280615981473,1.079102883789874,14,5,6,1
2025-06-28 15:00:00,0.46075229569293424,0.6741096539269961,0.0033925653172255437,-1.034931912374186,0.8139059627417408,0.987322103679658,1.006799384858593,15,5,6,1
2025-06-28 16:00:00,0.5680255119683406,0.522869238284141,0.0,-1.0348134991119005,0.6746964185675849,0.8143346331228598,0.8408751246571387,16,5,6,1
2025-06-28 17:00:00,0.7588273715756714,0.3672474022321561,0.050909166132268674,-0.9878034339846062,0.5479694169816234,0.6310247223926684,0.6695942986859221,17,5,6,1
2025-06-28 18:00:00,0.8587236331501902,0.12856360460641228,0.12672472642270535,-0.28016577856719954,0.3140203728982065,0.30131034619267233,0.3700607383404578,18,5,6,1
2025-06-28 19:00:00,0.6557421139585815,-0.10860297818171052,0.1660081504313109,0.10230905861456484,0.019489178377269465,-0.08691435244749708,0.019535421365423185,19,5,6,1
2025-06-28 20:00:00,0.32908133860990507,-0.2493783119689748,0.09360584183198527,0.2676139727649496,-0.19767707930596431,-0.3246669701708201,-0.22139017636987565,20,5,6,1
2025-06-28 21:00:00,0.15011334383524802,-0.31133988572781907,-0.03162946567096254,0.4436944937833037,-0.3004884130127745,-0.3937075671502939,-0.3289225038007021,21,5,6,1
2025-06-28 22:00:00,0.0,-0.31754936499008257,-0.11989822304048324,0.3960923623445826,-0.33793604077735784,-0.39844817006789257,-0.3655993146344038,22,5,6,1
2025-06-28 23:00:00,0.0632420179044838,-0.31758637023002456,-0.2861546099584204,0.20260509177027825,-0.324987967207682,-0.30266621800835297,-0.33108556823516844,23,5,6,1
2025-06-29 00:00:00,0.11461174933722673,-0.31758637023002456,-0.42063672658819634,0.10278271166370624,-0.3144385617459779,-0.22509451515211495,-0.3005918203825441,0,6,6,1
2025-06-29 01:00:00,0.21631382794790024,-0.31758637023002456,-0.5777083635009619,0.03587921847246893,-0.2935527904242644,-0.12375051958591476,-0.24962614748260428,1,6,6,1
2025-06-29 02:00:00,0.2987666653859454,-0.31758637023002456,-0.6886287002751288,0.03872113676731789,-0.2766200872673331,-0.04944478533679064,-0.2073445170558955,2,6,6,1
2025-06-29 03:00:00,0.3356130172513159,-0.31758637023002456,-0.742371899629714,0.005091770278271079,-0.26905323622935684,-0.01424160250192989,-0.18671241985273915,3,6,6,1
2025-06-29 04:00:00,0.29638452376378377,-0.31744575031824507,-0.7928673382842721,-0.012788632326820584,-0.2769593725589212,0.0,-0.18946279457441476,4,6,6,1
2025-06-29 05:00:00,0.2126253505974565,-0.3008822049202167,-0.8188080511367163,-0.01290704558910602,-0.2765017319330582,0.0129846994319194,-0.18398904937766397,5,6,6,1
2025-06-29 06:00:00,-0.07403849848234526,-0.2095014654075017,-0.706605159181647,0.0,-0.23794945438190898,0.007660180914867085,-0.14716083770977226,6,6,6,1
2025-06-29 07:00:00,-0.44784262496638105,0.0,-0.5337498189942285,-0.13582001184132622,-0.09136242770461665,0.10882603273886107,0.026611466877110544,7,6,6,1
2025-06-29 08:00:00,-0.4761209513197833,0.2904985345924983,-0.2875819697565214,-0.4602723505032563,0.21253461893527542,0.37223134933987845,0.36847721334419914,8,6,6,1
2025-06-29 09:00:00,-0.4091136127867215,0.5495796204742591,-0.1988374257876337,-0.9994079336885732,0.502505187908819,0.6934838977850795,0.7092920817038186,9,6,6,1
2025-06-29 10:00:00,-0.4519921619856303,0.7509103289025726,-0.09445398316129165,-1.022972172883363,0.7083408949241342,0.9017240355495735,0.9225313390893448,10,6,6,1
2025-06-29 11:00:00,-0.28820071464248664,0.840500014802096,-0.09443329678740614,-1.0260509177027828,0.8374902356849223,1.0637061815878546,1.081840919519324,11,6,6,1
2025-06-29 12:00:00,-0.15775925000960542,0.8618594392966044,-0.07937361659874641,-1.086915334517466,0.8870495593236387,1.1186635260584707,1.1353835126244518,12,6,6,1
2025-06-29 13:00:00,0.02374457294348177,0.8660262293140709,-0.12529736662460436,-1.2609828300769688,0.9287658694777373,1.1929593634330278,1.2106261129926046,13,6,6,1
2025-06-29 14:00:00,0.19310715795135822,0.8282068740933716,-0.2275707991146232,-1.3072824156305507,0.9232268398336713,1.2349419053462916,1.2591701109358024,14,6,6,1
2025-06-29 15:00:00,0.3385714834594844,0.7468101483170017,-0.28934031153679074,-1.2059206631142687,0.8663215951142919,1.1931177134261,1.2201289833854518,15,6,6,1
2025-06-29 16:00:00,0.35313328466592386,0.6145904260043222,-0.2965391696489522,-1.054825340438129,0.7283508367722134,1.023505077096653,1.0441633790674603,16,6,6,1
2025-06-29 17:00:00,0.5946517078418565,0.45973829894313034,-0.11017562731428808,-1.0228537596210774,0.6128597015867505,0.7894835810850933,0.8113031991529771,17,6,6,1
2025-06-29 18:00:00,1.0345794751604103,0.20722934367506438,0.061273039448915,-0.10597986974541151,0.4340011204304978,0.48311593198867797,0.5308795493357603,18,6,6,1
2025-06-29 19:00:00,0.9138586852115111,-0.07231563989460908,0.11187190997290085,0.18650088809946713,0.11118300101785587,0.05399734763761604,0.13718737143954243,19,6,6,1
2025-06-29 20:00:00,0.5413608944557575,-0.23540513336688476,0.15258269377960737,0.3030195381882771,-0.13918587310730093,-0.2795174283961125,-0.1614472357735576,20,6,6,1
2025-06-29 21:00:00,0.37099934683213587,-0.30857189378015926,0.030988188080511368,0.37513321492007096,-0.25217576556175386,-0.3630668434908256,-0.27797208254808903,21,6,6,1
2025-06-29 22:00:00,0.3638913436047182,-0.31746795346221024,0.02821621397985147,0.3237418590882179,-0.2631196888043744,-0.3754676273232913,-0.29070791829618126,22,6,6,1
2025-06-29 23:00:00,0.3439120912898144,-0.31758637023002456,-0.16921453838356673,0.17300177619893428,-0.2673489194157981,-0.28631658122364956,-0.2716626354656927,23,6,6,1
2025-06-30 00:00:00,0.19456718023590885,-0.31758637023002456,-0.3353674934320763,0.14612196566015398,-0.2980187317042379,-0.2452940361433859,-0.2897191815261907,0,0,6,0
2025-06-30 01:00:00,0.03177469550851039,-0.31758637023002456,-0.43795122153037797,0.03126110124333926,-0.3314501684590925,-0.23814849270600344,-0.32145546510461676,1,0,6,0
2025-06-30 02:00:00,-0.12894302070926345,-0.31758637023002456,-0.476738172565731,-0.016104203670811123,-0.3644555260105573,-0.2609904792066665,-0.3619623684015809,2,0,6,0
2025-06-30 03:00:00,-0.2228455065893111,-0.31758637023002456,-0.5084917564800067,-0.026761397276495028,-0.38373955514175023,-0.2699867381880802,-0.38509280590923867,3,0,6,0
2025-06-30 04:00:00,-0.24612901986398739,-0.3173791408863495,-0.44409507457437786,0.0014209591474245652,-0.3883001806891437,-0.30651610221492054,-0.3980961379629365,4,0,6,0
2025-06-30 05:00:00,-0.3422983824489953,-0.2982696349803132,-0.21431083345400384,0.13049141503848427,-0.3876768425952958,-0.415668731814493,-0.41916662312446845,5,0,6,0
2025-06-30 06:00:00,-0.5507741960272026,-0.18950383374285798,0.40282575867276227,0.3375962107756069,-0.3145332460133978,-0.6191781635359553,-0.38662247246162607,6,0,6,0
2025-06-30 07:00:00,-0.9029085180773812,0.04154948340685041,0.8371775511470594,0.2997039668442866,-0.14051934320679832,-0.6087171671186239,-0.24800589706102794,7,0,6,0
2025-06-30 08:00:00,-1.0976678065086256,0.3625477367595252,1.152210339049668,0.2620485494375369,0.16170494804200825,-0.3803566833593951,0.0,8,0,6,0
2025-06-30 09:00:00,-1.1993314634802321,0.6826208591136504,1.1433565710266647,0.0637063351095322,0.4820612765017319,0.025702183250529483,0.297860136411078,9,0,6,0
2025-06-30 10:00:00,-1.2407499903945902,0.90103318629918,1.0962330113154466,-0.13901716992303131,0.706407757797644,0.32964509807802694,0.5174840008903161,10,0,6,0
2025-06-30 11:00:00,-1.2469742959234642,1.0609994375203529,1.0529571171469354,-0.5051509769094139,0.8756716665220101,0.5626571128837513,0.6882578847798387,11,0,6,0
2025-06-30 12:00:00,-1.2440542513543629,1.1502190710204565,1.01963136881736,-0.7973949082297217,0.9713895705279437,0.6986599631836267,0.7889766096358688,12,0,6,0
2025-06-30 13:00:00,-1.2354478042033272,1.1694988010302259,1.003289133447798,-0.9050325636471285,0.9937113865721928,0.7344767522416421,0.8154277018942443,13,0,6,0
2025-06-30 14:00:00,-1.2279171629461714,1.1132360342224459,0.8905483957717052,-0.7902901124925993,0.9352754128628578,0.7151184655885672,0.7957142890225681,14,0,6,0
2025-06-30 15:00:00,-1.2236139393706535,0.993575890346073,0.8197182515876792,-0.31249259917110717,0.8085878630549879,0.5901011460580748,0.6937379097441566,15,0,6,0
2025-06-30 16:00:00,-1.2223076036423715,0.8100521033778383,0.7948532301772823,-0.06974541148608644,0.6131989868783386,0.3569208843847113,0.5069406350048624,16,0,6,0
2025-06-30 17:00:00,-1.2277634763899028,0.5514446845673348,0.8910034959971866,0.0661930136175252,0.33637375036492895,-0.036301735911799055,0.21146555225658764,17,0,6,0
2025-06-30 18:00:00,-1.214661697468014,0.23340685041001805,0.984692083324714,0.27969212551805805,0.0,-0.5030383404920726,-0.12877762253183522,18,0,6,0
2025-06-30 19:00:00,-1.1428132324124947,-0.05581870392847627,0.9407749115657517,1.0959147424511544,-0.2935922422023561,-0.8502800815502465,-0.4064662971186898,19,0,6,0
2025-06-30 20:00:00,-0.99185461251777,-0.23507208620740697,0.8792950083779815,2.3988158673771465,-0.45369544805384376,-1.0216840521763226,-0.5586244945490587,20,0,6,0
2025-06-30 21:00:00,-0.664386982748684,-0.3097486604103141,0.7106596884632093,1.740201302545885,-0.46605963530776334,-0.9565131331525504,-0.5643784387341239,21,0,6,0
2025-06-30 22:00:00,-0.3238175740577093,-0.3174531513662335,0.5325293229349827,0.8361160449970396,-0.4043333833055856,-0.7938678965182795,-0.49198874231416373,22,0,6,0
